id,host_id,host_response_time,host_response_rate,neighbourhood_cleansed,city,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,weekly_price,monthly_price,cleaning_fee,guests_included,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,last_review,review_scores_rating,reviews_per_month
46386,207342,N/A,N/A,De Pijp - Rivierenbuurt,Amsterdam,1074 VM,52.35247,4.90825,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Pets allowed"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",Essentials,Shampoo,Hangers,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""EV charger"",""Patio or balcony"",""Long term stays allowed""}",150,,,50,2,3,1825,3,0,43103,93,0.03
47061,211696,within a few hours,1,De Baarsjes - Oud-West,Amsterdam,1053 LZ,52.36799,4.87447,Apartment,Entire home/apt,3,1,2,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,Heating,""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Pack ?ôn Play/travel crib"",""Hot water"",""Long term stays allowed"",""Host greets you""}",140,720,2200,,2,2,60,169,14,43463,96,1.64
48076,219080,within an hour,1,Centrum-West,Amsterdam,1013,52.38042,4.89453,Apartment,Entire home/apt,4,2,3,4,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Shampoo,""Hair dryer"",Iron,""High chair"",""Babysitter recommendations"",Crib,Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed""}",350,,,0,4,5,30,164,35,43507,97,1.81
50518,231806,within an hour,1,Westerpark,Amsterdam,1052,52.38201,4.87865,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{""Cable TV"",Wifi,Kitchen,""Paid parking off premises"",Heating,Washer,""Smoke detector"",Essentials,Shampoo,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",125,,,30,2,1,1120,92,16,43464,96,1.19
50523,231946,within an hour,1,Centrum-West,Amsterdam,1016,52.36841,4.88413,Bed and breakfast,Private room,2,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Breakfast,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer""}",115,640,2300,,1,2,365,225,54,43502,97,2.26
50570,232321,within a day,1,Bos en Lommer,Amsterdam,1055SC,52.37774,4.84891,Apartment,Entire home/apt,3,1,1,3,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,Heating,Washer,Dryer,""Smoke detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",90,485,1500,60,2,4,30,155,6,43515,91,1.6
53067,246493,within an hour,1,De Pijp - Rivierenbuurt,Amsterdam,1073,52.35339,4.90064,Guest suite,Private room,2,1,1,1,Real Bed,"{Internet,Wifi,""Smoking allowed"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Bed linens"",""Long term stays allowed"",""Host greets you""}",87,,,25,2,1,150,342,69,43499,93,3.39
53671,247822,within an hour,1,Westerpark,Amsterdam,1013 NN,52.38905,4.88559,Guest suite,Private room,2,1,1,1,Real Bed,"{Wifi,""Paid parking off premises"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Children?ôs books and toys"",""Luggage dropoff allowed"",Other}",75,480,1300,,1,3,14,268,40,43529,91,2.78
53692,246493,within an hour,1,De Pijp - Rivierenbuurt,Amsterdam,1073,52.35348,4.90049,Guest suite,Private room,4,1,1,3,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Paid parking off premises"",Heating,""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Other}",60,,,30,3,1,150,238,32,43530,91,2.52
55256,260785,within an hour,1,Centrum-Oost,Amsterdam,1011,52.37126,4.90351,Apartment,Private room,2,1,1,1,Futon,"{Internet,Wifi,Kitchen,""Paid parking off premises"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,Essentials,""Lock on bedroom door"",""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",Other}",86,500,1700,15,1,1,365,134,51,43516,93,1.37
55621,262846,within an hour,1,De Pijp - Rivierenbuurt,Amsterdam,1073,52.35386,4.89772,Apartment,Entire home/apt,4,1,2,4,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Hair dryer"",Iron,Bathtub,""High chair"",""Stair gates"",""Children?ôs books and toys"",""Room-darkening shades"",""Children?ôs dinnerware"",""Bed linens"",Other}",275,1000,,90,1,3,24,25,2,43331,97,0.25
55703,263214,N/A,N/A,Bos en Lommer,Amsterdam,1056EN,52.37561,4.85819,Apartment,Entire home/apt,4,1,3,3,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Wheelchair accessible"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials}",250,800,3000,50,1,3,31,3,0,42662,100,0.07
55709,263233,within a few hours,1,Centrum-Oost,Amsterdam,1017 ZJ,52.35896,4.89726,Loft,Entire home/apt,3,1,1,1,Real Bed,"{TV,""Cable TV"",Wifi,Kitchen,""Paid parking off premises"",Elevator,""Buzzer/wireless intercom"",Heating,Washer,Dryer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private living room"",""Hot water"",""Long term stays allowed"",""Host greets you""}",159,895,2195,35,2,5,30,52,3,43388,100,0.52
55807,263844,within a day,0.5,De Baarsjes - Oud-West,Amsterdam,1057,52.36966,4.86203,Apartment,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Safety card"",""Hair dryer"",Iron}",60,,,15,1,2,7,150,8,43259,97,1.48
55868,264178,within a day,1,Zuid,Amsterdam,1071 DN,52.35613,4.88515,Apartment,Entire home/apt,4,1.5,2,4,Real Bed,"{Wifi,Kitchen,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",Bathtub,""Hot water"",""Host greets you""}",149,,,,2,4,21,89,5,43468,97,0.89
56879,270282,a few days or more,0,Centrum-West,Amsterdam,1013,52.38453,4.89255,Apartment,Entire home/apt,4,1,2,4,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Wheelchair accessible"",Kitchen,""Paid parking off premises"",Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Children?ôs books and toys"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",112,,1600,100,1,28,28,1,0,41117,100,0.01
58211,278253,within an hour,1,Centrum-West,Amsterdam,1016 EZ,52.36916,4.88445,Guest suite,Private room,4,2,2,2,Real Bed,"{TV,""Cable TV"",Wifi,Kitchen,""Smoking allowed"",""Indoor fireplace"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",""Pack ?ôn Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Host greets you"",""Handheld shower head""}",225,2225,,100,2,3,365,86,17,43525,97,1.06
62015,301340,N/A,N/A,Oud-Oost,Amsterdam,1094,52.36445,4.93124,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Paid parking off premises"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Luggage dropoff allowed"",""Host greets you"",""Paid parking on premises""}",109,900,3000,45,1,2,5,22,2,43468,99,0.22
62801,306117,N/A,N/A,Bos en Lommer,Amsterdam,1055,52.38459,4.85463,Apartment,Entire home/apt,4,,2,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Washer / Dryer"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer}",750,,,,1,30,30,0,0,,,
64736,306192,N/A,N/A,De Baarsjes - Oud-West,Amsterdam,,52.36348,4.86783,Boat,Entire home/apt,2,1.5,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",145,,,25,1,4,90,92,10,43311,98,1.37
64769,312863,within a day,0.75,Centrum-Oost,Amsterdam,1017 XL,52.36225,4.902,Townhouse,Entire home/apt,4,2.5,3,6,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Pets allowed"",""Indoor fireplace"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Children?ôs books and toys"",Crib,""Pack ?ôn Play/travel crib"",""Hot water"",""Host greets you""}",450,2250,,,4,4,1125,27,3,43470,97,0.28
65230,213960,within an hour,0.9,Centrum-West,Amsterdam,1012 GB,52.36871,4.89284,Apartment,Entire home/apt,4,1,,3,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Smoking allowed"",Heating,Washer,""Fire extinguisher"",Hangers,""Hair dryer"",Iron,Crib,""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Long term stays allowed"",""Host greets you""}",179,,,60,2,3,30,84,1,43472,85,0.89
67841,335166,within a few hours,1,De Pijp - Rivierenbuurt,De Pijp,1073,52.35472,4.89324,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Paid parking off premises"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",100,600,2000,25,1,3,30,12,8,43509,92,0.18
68290,336950,within an hour,1,Centrum-West,Amsterdam,1012 CK,52.36887,4.89523,Serviced apartment,Private room,2,1.5,1,2,Real Bed,"{Internet,Wifi,""Paid parking off premises"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",Refrigerator,""EV charger"",""Luggage dropoff allowed"",""Well-lit path to entrance"",""Wide clearance to bed"",Other,""Handheld shower head"",""Paid parking on premises""}",109,,,20,1,1,30,598,88,43513,96,6.15
68873,336950,within an hour,1,Centrum-West,Amsterdam,1012 CK,52.3695,4.89556,Serviced apartment,Private room,2,1.5,1,2,Real Bed,"{Internet,Wifi,""Paid parking off premises"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",Refrigerator,""EV charger"",""Luggage dropoff allowed"",""Wide doorway"",""Wide clearance to bed"",Other,""Handheld shower head"",""Paid parking on premises""}",109,,,20,1,1,30,541,64,43513,96,5.53
69042,344312,within an hour,1,Centrum-West,Amsterdam,1016,52.37353,4.87691,Bed and breakfast,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Window guards"",Crib,""Bed linens"",""Long term stays allowed""}",108,749,2200,40,2,3,365,140,68,43526,92,1.46
73208,381900,within a few hours,1,Zuid,Amsterdam,1071,52.35935,4.87672,Apartment,Entire home/apt,4,2.5,2,3,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,Elevator,""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo}",220,950,,70,2,5,1125,60,4,43479,99,0.62
73917,387205,within an hour,1,Centrum-West,Amsterdam,1015,52.37894,4.8906,Houseboat,Entire home/apt,2,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Paid parking off premises"",Heating,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",175,1000,,,1,3,365,84,9,43504,94,1.2
74367,391075,N/A,N/A,Centrum-West,Amsterdam,1015,52.3748,4.88045,Apartment,Entire home/apt,3,1,2,2,Real Bed,"{Internet,Wifi,Kitchen,""Paid parking off premises"",Heating,Washer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed"",""Host greets you""}",260,999,2500,60,2,7,30,10,0,40856,91,0.1
75382,399879,within an hour,1,Oud-Oost,Amsterdam,1093,52.36482,4.92762,Apartment,Private room,3,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Paid parking off premises"",Heating,""Family/kid friendly"",""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",Oven,""Garden or backyard"",Waterfront}",105,650,2100,25,2,3,90,190,57,43526,95,2
75444,399879,within an hour,1,Oud-Oost,Amsterdam,1093,52.36551,4.92848,Apartment,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Wifi,""Paid parking off premises"",Heating,""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""Private entrance"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed""}",70,,,15,1,3,100,257,70,43520,94,2.72
76668,409579,within an hour,1,Westerpark,Amsterdam,1013,52.38898,4.89043,Bed and breakfast,Private room,4,1,2,2,Real Bed,"{Internet,Wifi,""Paid parking off premises"",Breakfast,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""High chair"",""Children?ôs books and toys"",Crib,""Room-darkening shades"",""Hot water"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you"",Waterfront}",135,630,2400,,2,3,90,45,35,43506,98,1.37
77345,412591,within an hour,1,Zuid,Amsterdam,,52.34978,4.86791,Apartment,Private room,2,1,1,2,Real Bed,"{""Cable TV"",Internet,Wifi,""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo}",95,450,,25,1,3,7,121,3,43416,93,1.26
80634,436145,within an hour,1,Centrum-West,Amsterdam,1013 GW,52.37976,4.89398,House,Private room,4,1,1,4,Real Bed,"{TV,Internet,Wifi,""Paid parking off premises"",Heating,""Family/kid friendly"",""Suitable for events"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""translation missing: en.hosting_amenity_50"",""Private entrance"",Refrigerator,""Long term stays allowed"",""Wide hallway clearance"",""Wide doorway"",""Well-lit path to entrance"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Wide doorway"",""Handheld shower head""}",160,,,25,3,2,1125,128,18,43528,91,2.03
